Name,Coordinates
 Adamana,"33.927783,36.667326"
 Addida,"31.967821,34.950537"
 Adida,"31.967821,34.950537"
 Admana,"33.927783,36.667326"
 Adraa,"32.618791,36.10799"
 Adraha,"32.618791,36.10799"
 Ainesippa,"31.5,27.5"
 Ainesippeia,"31.5,27.5"
 Akokome,"38.989078,27.671039"
 Alesion Pedion,"39.584862,26.109862"
 Aphrodites,"25.546178,33.633516"
 Aphrodites Oros,"25.546178,33.633516"
 Aphrodito,"29.408419,31.25167"
 Aphroditopolis,"29.408419,31.25167"
 Arca,"18.084419,30.950358"
 Arcas,"18.084419,30.950358"
 Argaitidos,"29.25,30.75"
 Argaitidos Diorux,"29.25,30.75"
 Arsinoe,"37.9407625,27.340307"
 Arsinoeia,"37.9407625,27.340307"
 Astyra,"39.586596,26.888592"
 Astyria,"39.586596,26.888592"
 Bergoule,"41.4017405,27.352699"
 Berotai,"33.945274,36.153207"
 Berothai,"33.945274,36.153207"
 Beudos,"38.547839,30.642464"
 Beudos Palaion,"38.547839,30.642464"
 Bornos,"40.914314,27.280325"
 Bossia,"29.88902,35.061042"
 Chaspho,"32.864811,35.8441"
 Chaspo,"32.864811,35.8441"
 Chatanoi,"31.5,26.5"
 Chattanoi,"31.5,26.5"
 Cheimo,"30.85108,29.340681"
 Chimo,"30.85108,29.340681"
 Choloe,"40.727271,36.199282"
 Col. Augusta Alexandria Troas,"39.7564735,26.1547495"
 Col. Iulia Aug. Felix Germa,"39.511421,31.616172"
 Coloe,"40.727271,36.199282"
 Daldis,"38.668404,28.142602"
 Daldis Phlabiokaisareia,"38.668404,28.142602"
 Deramoska,"40.83924,29.724963"
 Dor,"32.6167855,34.922192"
 Dora,"32.6167855,34.922192"
 Drousipara,"41.300089,27.543955"
 Drusipara,"41.300089,27.543955"
 Epagathiane,"29.75,30.75"
 Epagathiane Diorux,"29.75,30.75"
 Eudonos,"37.75,27.75"
 Exotero,"25.75,30.75"
 Exotero Oasis,"25.75,30.75"
 Galaaditis,"32.75,35.75"
 Galaditis,"32.75,35.75"
 Germa,"39.511421,31.616172"
 Germe,"39.36872,27.690683"
 Ginai,"32.461848,35.302465"
 Ginaia,"32.461848,35.302465"
 Halesion Pedion,"39.584862,26.109862"
 Heraion,"41.023945,27.742027"
 Heraion Teichos,"41.023945,27.742027"
 Heudonos,"37.75,27.75"
 Hiera Germe,"39.36872,27.690683"
 Hormoita,"38.66655,27.515863"
 Iasikos,"37.25,27.75"
 Iasios,"37.25,27.75"
 Iera,"39.05495,26.489422"
 Ira,"39.05495,26.489422"
 Iscina,"31.5,17.5"
 Karyanda,"37.126299,27.377983"
 Karyanda Neapolis,"37.126299,27.377983"
 Kilbianoi,"38.25,28.25"
 Kilbianoi,"38.25,28.25"
 Kilbianoi Ano,"38.25,28.25"
 Kilbianoi Kato,"38.25,28.25"
 Korea,"32.134595,35.4769685"
 Koreai,"32.134595,35.4769685"
 Koresos,"37.75,27.25"
 Koressos,"37.75,27.25"
 Larisa,"38.689068,27.033411"
 Medocia,"40.52067,39.650213"
 Medocina,"40.52067,39.650213"
 Megabari,"18.5,32.5"
 Megabarri,"18.5,32.5"
 Mesogis M.,"38.25,27.75"
 Messogis M.,"38.25,27.75"
 Moiethymis,"29.376311,31.167999"
 Moithymis,"29.376311,31.167999"
 Motha,"32.41855,36.818713"
 Mothana,"32.41855,36.818713"
 Mounesis,"24.684027,30.606184"
 Nakokome,"38.989078,27.671039"
 Nalot,"22.720104,32.090922"
 Nalote,"22.720104,32.090922"
 Nitike,"43.314372,40.256888"
 Ormoita,"38.66655,27.515863"
 Ossia,"29.88902,35.061042"
 Patsonteos,"29.75,31.25"
 Patsonteos Oreine,"29.75,31.25"
 Peion,"37.75,27.25"
 Phygela,"37.75,27.25"
 Pion,"37.75,27.25"
 Pionia,"39.626196,27.579568"
 Pioniai,"39.626196,27.579568"
 Pmounesis,"24.684027,30.606184"
 Polemonos,"29.25,30.75"
 Pordoselene,"39.336684,26.654808"
 Poroselene,"39.336684,26.654808"
 Psilis,"41.25,29.75"
 Psillis,"41.25,29.75"
 Psinaleitidos,"29.25,30.75"
 Psinaleitidos Diorux,"29.25,30.75"
 Pygela,"37.75,27.25"
 Say,"20.714072,30.325146"
 Saye,"20.714072,30.325146"
 Scina,"31.5,17.5"
 Selybria,"41.078496,28.247677"
 Seouerou,"28.613159,30.676065"
 Seuerou,"28.613159,30.676065"
 Sibde,"37.25,27.75"
 Side,"37.25,27.75"
 Stennitike,"43.314372,40.256888"
 Taginae,"43.230265,12.786046"
 Talei,"29.100058,30.799901"
 Taleithis,"29.100058,30.799901"
 Tesderamoska,"40.83924,29.724963"
 Thana,"30.770346,35.717666"
 Thoana,"30.770346,35.717666"
 Trachon,"33.25,36.25"
 Trachonitis,"33.25,36.25"
 Troglodytae,"23.5,35.5"
 Trogodytae,"23.5,35.5"
 Tyraion,"38.282553,31.904303"
 Tyriaion,"38.282553,31.904303"
 Zigane,"42.631325,41.504797"
 Ziganne,"42.631325,41.504797"
(...)aleia,"39.205698,28.199045"
(...)lense,"35.203363,7.800336"
(...)rdensium,"36.18549,8.141323"
(...)sinsensium,"36.220971,9.558067"
[ - ? - ]o,"45.137891,0.447582"
[Aoos],"35.25,33.25"
[Comacina],"45.75,9.25"
[Derventio],"54.5,-2.5"
[Korakesios],"38.25,38.25"
"[Locus] Maponi, Locus Maponi, Maponi (Locus)","55.124329,-3.392818"
[Phoinix],"36.25,30.25"
[S. Iulianus],"45.75,8.25"
[Sabalan],"38.5,47.5"
[Sesterrio],"44.75,9.75"
[Taunucus],"47.5,-1.5"
Ġazzat,"31.5202095,34.451719"
Ġeitārie,"35.5,51.5"
Šiqma,"32.8246398,34.9554726"
Šngar,"36.402393,42.216553"
Šuš,"32.1887935,48.2537285"
Šuġā Zanbīl,"32.00906395,48.521582"
Šuštar,"32.049999,48.849999"
Šušter,"32.049999,48.849999"
Šurupak,"37.5,47.5"
A(...),"35.939459,9.211067"
A...,"35.952388,8.598432"
